month,strategy,hedge_ratio,exposure,covered_amount,transaction_cost,exposure_pnl_proxy,hedge_pnl_proxy,hedged_position_pnl_proxy,net_pnl,residual_exposure,fx_return_month,abs_residual_exposure
2020-07,LSTM,0.3,420029.8993431595,126008.96980294785,25.20179396058957,23342.758034123675,-7028.029204197692,16314.728829925984,16314.728829925984,294020.9295402117,0.055574039063949865,294020.9295402117
2020-07,STATIC,0.6,420029.8993431595,252017.9396058957,50.40358792117914,23342.758034123675,-14056.058408395384,9286.699625728292,9286.699625728292,168011.95973726382,0.055574039063949865,168011.95973726382
2020-08,EWMA,0.6,420018.3162697563,252010.98976185377,50.402197952370756,1626.9054745854664,-1026.5454827036506,600.3599918818159,600.3599918818159,168007.32650790253,0.0038734155430035777,168007.32650790253
2020-08,GARCH,0.6,420018.3162697563,252010.98976185377,50.402197952370756,1626.9054745854664,-1026.5454827036506,600.3599918818159,600.3599918818159,168007.32650790253,0.0038734155430035777,168007.32650790253
2020-08,GRU,0.3,420018.3162697563,126005.49488092688,25.201098976185378,1626.9054745854664,-513.2727413518253,1113.6327332336411,1113.6327332336411,294012.8213888294,0.0038734155430035777,294012.8213888294
2020-08,LSTM,0.3,420018.3162697563,126005.49488092688,25.201098976185378,1626.9054745854664,-513.2727413518253,1113.6327332336411,1113.6327332336411,294012.8213888294,0.0038734155430035777,294012.8213888294
2020-08,STATIC,0.6,420018.3162697563,252010.98976185377,50.402197952370756,1626.9054745854664,-1026.5454827036506,600.3599918818159,600.3599918818159,168007.32650790253,0.0038734155430035777,168007.32650790253
2020-09,EWMA,0.3,462222.6811832399,138666.80435497197,27.733360870994396,-6833.145880016101,2022.2104031338356,-4810.935476882265,-4810.935476882265,323555.87682826794,-0.014783233619181102,323555.87682826794
2020-09,GARCH,0.3,462222.6811832399,138666.80435497197,27.733360870994396,-6833.145880016101,2022.2104031338356,-4810.935476882265,-4810.935476882265,323555.87682826794,-0.014783233619181102,323555.87682826794
2020-09,GRU,0.6,462222.6811832399,277333.60870994395,55.46672174198879,-6833.145880016101,4044.420806267671,-2788.7250737484296,-2788.7250737484296,184889.07247329596,-0.014783233619181102,184889.07247329596
2020-09,LSTM,0.3,462222.6811832399,138666.80435497197,27.733360870994396,-6833.145880016101,2022.2104031338356,-4810.935476882265,-4810.935476882265,323555.87682826794,-0.014783233619181102,323555.87682826794
2020-09,STATIC,0.6,462222.6811832399,277333.60870994395,55.46672174198879,-6833.145880016101,4044.420806267671,-2788.7250737484296,-2788.7250737484296,184889.07247329596,-0.014783233619181102,184889.07247329596
2020-10,EWMA,0.3,420132.52361724374,126039.75708517311,25.207951417034625,-2266.8513208257286,654.8474448306839,-1612.0038759950448,-1612.0038759950448,294092.76653207064,-0.005395562574657786,294092.76653207064
2020-10,GARCH,0.3,420132.52361724374,126039.75708517311,25.207951417034625,-2266.8513208257286,654.8474448306839,-1612.0038759950448,-1612.0038759950448,294092.76653207064,-0.005395562574657786,294092.76653207064
2020-10,GRU,0.6,420132.52361724374,252079.51417034623,50.41590283406925,-2266.8513208257286,1309.6948896613678,-957.1564311643608,-957.1564311643608,168053.00944689751,-0.005395562574657786,168053.00944689751
2020-10,LSTM,0.6,420132.52361724374,252079.51417034623,50.41590283406925,-2266.8513208257286,1309.6948896613678,-957.1564311643608,-957.1564311643608,168053.00944689751,-0.005395562574657786,168053.00944689751
2020-10,STATIC,0.6,420132.52361724374,252079.51417034623,50.41590283406925,-2266.8513208257286,1309.6948896613678,-957.1564311643608,-957.1564311643608,168053.00944689751,-0.005395562574657786,168053.00944689751
2020-11,EWMA,0.3,419996.63962274685,125998.99188682405,25.19979837736481,10528.596554825164,-3183.778764824914,7344.81779000025,7344.81779000025,293997.64773592283,0.025068287604115724,293997.64773592283
2020-11,GARCH,0.3,419996.63962274685,125998.99188682405,25.19979837736481,10528.596554825164,-3183.778764824914,7344.81779000025,7344.81779000025,293997.64773592283,0.025068287604115724,293997.64773592283
2020-11,GRU,0.6,419996.63962274685,251997.9837736481,50.39959675472962,10528.596554825164,-6367.557529649828,4161.039025175336,4161.039025175336,167998.65584909875,0.025068287604115724,167998.65584909875
2020-11,LSTM,0.3,419996.63962274685,125998.99188682405,25.19979837736481,10528.596554825164,-3183.778764824914,7344.81779000025,7344.81779000025,293997.64773592283,0.025068287604115724,293997.64773592283
2020-11,STATIC,0.6,419996.63962274685,251997.9837736481,50.39959675472962,10528.596554825164,-6367.557529649828,4161.039025175336,4161.039025175336,167998.65584909875,0.025068287604115724,167998.65584909875
2020-12,EWMA,0.3,461814.6278524201,138544.38835572603,27.708877671145206,12669.840985932291,-3828.6611734508324,8841.17981248146,8841.17981248146,323270.23949669406,0.027434906176209584,323270.23949669406
2020-12,GARCH,0.3,461814.6278524201,138544.38835572603,27.708877671145206,12669.840985932291,-3828.6611734508324,8841.17981248146,8841.17981248146,323270.23949669406,0.027434906176209584,323270.23949669406
2020-12,GRU,0.6,461814.6278524201,277088.77671145205,55.41775534229041,12669.840985932291,-7657.322346901665,5012.518639030626,5012.518639030626,184725.85114096804,0.027434906176209584,184725.85114096804
2020-12,LSTM,0.3,461814.6278524201,138544.38835572603,27.708877671145206,12669.840985932291,-3828.6611734508324,8841.17981248146,8841.17981248146,323270.23949669406,0.027434906176209584,323270.23949669406
2020-12,STATIC,0.6,461814.6278524201,277088.77671145205,55.41775534229041,12669.840985932291,-7657.322346901665,5012.518639030626,5012.518639030626,184725.85114096804,0.027434906176209584,184725.85114096804
2021-01,EWMA,0.3,420126.1954845744,126037.85864537233,25.207571729074466,-6143.43750692374,1817.8236803480474,-4325.613826575693,-4325.613826575693,294088.3368392021,-0.014622838501745616,294088.3368392021
2021-01,GARCH,0.3,420126.1954845744,126037.85864537233,25.207571729074466,-6143.43750692374,1817.8236803480474,-4325.613826575693,-4325.613826575693,294088.3368392021,-0.014622838501745616,294088.3368392021
2021-01,GRU,0.3,420126.1954845744,126037.85864537233,25.207571729074466,-6143.43750692374,1817.8236803480474,-4325.613826575693,-4325.613826575693,294088.3368392021,-0.014622838501745616,294088.3368392021
2021-01,LSTM,0.3,420126.1954845744,126037.85864537233,25.207571729074466,-6143.43750692374,1817.8236803480474,-4325.613826575693,-4325.613826575693,294088.3368392021,-0.014622838501745616,294088.3368392021
2021-01,STATIC,0.6,420126.1954845744,252075.71729074465,50.41514345814893,-6143.43750692374,3635.647360696095,-2507.7901462276454,-2507.7901462276454,168050.47819382977,-0.014622838501745616,168050.47819382977
2021-04,EWMA,0.3,420233.9464037262,126070.18392111784,25.21403678422357,14463.062565968918,-4364.132806574899,10098.929759394017,10098.929759394017,294163.7624826083,0.03441669262976199,294163.7624826083
2021-04,GARCH,0.3,420233.9464037262,126070.18392111784,25.21403678422357,14463.062565968918,-4364.132806574899,10098.929759394017,10098.929759394017,294163.7624826083,0.03441669262976199,294163.7624826083
2021-04,GRU,0.6,420233.9464037262,252140.3678422357,50.42807356844714,14463.062565968918,-8728.265613149799,5734.796952819119,5734.796952819119,168093.5785614905,0.03441669262976199,168093.5785614905
2021-04,LSTM,0.3,420233.9464037262,126070.18392111784,25.21403678422357,14463.062565968918,-4364.132806574899,10098.929759394017,10098.929759394017,294163.7624826083,0.03441669262976199,294163.7624826083
2021-04,STATIC,0.6,420233.9464037262,252140.3678422357,50.42807356844714,14463.062565968918,-8728.265613149799,5734.796952819119,5734.796952819119,168093.5785614905,0.03441669262976199,168093.5785614905
2021-05,EWMA,0.3,419900.66493923013,125970.19948176903,25.194039896353807,2180.5405287290164,-679.3561985150586,1501.1843302139578,1501.1843302139578,293930.4654574611,0.0051929913686719065,293930.4654574611
2021-05,GARCH,0.3,419900.66493923013,125970.19948176903,25.194039896353807,2180.5405287290164,-679.3561985150586,1501.1843302139578,1501.1843302139578,293930.4654574611,0.0051929913686719065,293930.4654574611
2021-05,GRU,0.3,419900.66493923013,125970.19948176903,25.194039896353807,2180.5405287290164,-679.3561985150586,1501.1843302139578,1501.1843302139578,293930.4654574611,0.0051929913686719065,293930.4654574611
2021-05,LSTM,0.3,419900.66493923013,125970.19948176903,25.194039896353807,2180.5405287290164,-679.3561985150586,1501.1843302139578,1501.1843302139578,293930.4654574611,0.0051929913686719065,293930.4654574611
2021-05,STATIC,0.6,419900.66493923013,251940.39896353806,50.388079792707615,2180.5405287290164,-1358.7123970301172,821.8281316988991,821.8281316988991,167960.26597569208,0.0051929913686719065,167960.26597569208
2021-06,EWMA,0.3,462048.13748960383,138614.44124688115,27.722888249376233,-10921.543635782406,3248.7402024853454,-7672.80343329706,-7672.80343329706,323433.6962427227,-0.02363724198764494,323433.6962427227
2021-06,GARCH,0.3,462048.13748960383,138614.44124688115,27.722888249376233,-10921.543635782406,3248.7402024853454,-7672.80343329706,-7672.80343329706,323433.6962427227,-0.02363724198764494,323433.6962427227
2021-06,GRU,0.6,462048.13748960383,277228.8824937623,55.445776498752465,-10921.543635782406,6497.480404970691,-4424.063230811715,-4424.063230811715,184819.25499584153,-0.02363724198764494,184819.25499584153
2021-06,LSTM,0.3,462048.13748960383,138614.44124688115,27.722888249376233,-10921.543635782406,3248.7402024853454,-7672.80343329706,-7672.80343329706,323433.6962427227,-0.02363724198764494,323433.6962427227
2021-06,STATIC,0.6,462048.13748960383,277228.8824937623,55.445776498752465,-10921.543635782406,6497.480404970691,-4424.063230811715,-4424.063230811715,184819.25499584153,-0.02363724198764494,184819.25499584153
2021-07,EWMA,0.3,420017.83108741837,126005.3493262255,25.201069865245103,-315.179724012816,69.3528473385997,-245.8268766742163,-245.8268766742163,294012.48176119284,-0.0007503960562741385,294012.48176119284
2021-07,GARCH,0.3,420017.83108741837,126005.3493262255,25.201069865245103,-315.179724012816,69.3528473385997,-245.8268766742163,-245.8268766742163,294012.48176119284,-0.0007503960562741385,294012.48176119284
2021-07,GRU,0.9,420017.83108741837,378016.04797867656,75.60320959573532,-315.179724012816,208.0585420157991,-107.12118199701689,-107.12118199701689,42001.7831087418,-0.0007503960562741385,42001.7831087418
2021-07,LSTM,0.6,420017.83108741837,252010.698652451,50.402139730490205,-315.179724012816,138.7056946771994,-176.4740293356166,-176.4740293356166,168007.13243496735,-0.0007503960562741385,168007.13243496735
2021-07,STATIC,0.6,420017.83108741837,252010.698652451,50.402139730490205,-315.179724012816,138.7056946771994,-176.4740293356166,-176.4740293356166,168007.13243496735,-0.0007503960562741385,168007.13243496735
2021-08,EWMA,0.3,420327.46656802547,126098.23997040764,25.21964799408153,-3396.133122029778,993.6202886148518,-2402.5128334149263,-2402.5128334149263,294229.22659761785,-0.008079731619156871,294229.22659761785
2021-08,GARCH,0.3,420327.46656802547,126098.23997040764,25.21964799408153,-3396.133122029778,993.6202886148518,-2402.5128334149263,-2402.5128334149263,294229.22659761785,-0.008079731619156871,294229.22659761785
2021-08,GRU,0.6,420327.46656802547,252196.47994081528,50.43929598816306,-3396.133122029778,1987.2405772297036,-1408.8925448000743,-1408.8925448000743,168130.9866272102,-0.008079731619156871,168130.9866272102
2021-08,LSTM,0.3,420327.46656802547,126098.23997040764,25.21964799408153,-3396.133122029778,993.6202886148518,-2402.5128334149263,-2402.5128334149263,294229.22659761785,-0.008079731619156871,294229.22659761785
2021-08,STATIC,0.6,420327.46656802547,252196.47994081528,50.43929598816306,-3396.133122029778,1987.2405772297036,-1408.8925448000743,-1408.8925448000743,168130.9866272102,-0.008079731619156871,168130.9866272102
2021-09,EWMA,0.3,462163.50778965413,138649.05233689625,27.729810467379252,-7651.320756841582,2267.6664165850957,-5383.654340256486,-5383.654340256486,323514.4554527579,-0.01655544115422447,323514.4554527579
2021-09,GARCH,0.3,462163.50778965413,138649.05233689625,27.729810467379252,-7651.320756841582,2267.6664165850957,-5383.654340256486,-5383.654340256486,323514.4554527579,-0.01655544115422447,323514.4554527579
2021-09,GRU,0.3,462163.50778965413,138649.05233689625,27.729810467379252,-7651.320756841582,2267.6664165850957,-5383.654340256486,-5383.654340256486,323514.4554527579,-0.01655544115422447,323514.4554527579
2021-09,LSTM,0.3,462163.50778965413,138649.05233689625,27.729810467379252,-7651.320756841582,2267.6664165850957,-5383.654340256486,-5383.654340256486,323514.4554527579,-0.01655544115422447,323514.4554527579
2021-09,STATIC,0.6,462163.50778965413,277298.1046737925,55.459620934758505,-7651.320756841582,4535.332833170191,-3115.9879236713905,-3115.9879236713905,184865.40311586164,-0.01655544115422447,184865.40311586164
2021-10,EWMA,0.3,419950.82786670397,125985.24836001119,25.19704967200224,2968.4416791645776,-915.7295534213755,2052.7121257432023,2052.7121257432023,293965.57950669277,0.007068545844388208,293965.57950669277
2021-10,GARCH,0.3,419950.82786670397,125985.24836001119,25.19704967200224,2968.4416791645776,-915.7295534213755,2052.7121257432023,2052.7121257432023,293965.57950669277,0.007068545844388208,293965.57950669277
2021-10,GRU,0.6,419950.82786670397,251970.49672002238,50.39409934400448,2968.4416791645776,-1831.459106842751,1136.9825723218266,1136.9825723218266,167980.3311466816,0.007068545844388208,167980.3311466816
2021-10,LSTM,0.3,419950.82786670397,125985.24836001119,25.19704967200224,2968.4416791645776,-915.7295534213755,2052.7121257432023,2052.7121257432023,293965.57950669277,0.007068545844388208,293965.57950669277
2021-10,STATIC,0.6,419950.82786670397,251970.49672002238,50.39409934400448,2968.4416791645776,-1831.459106842751,1136.9825723218266,1136.9825723218266,167980.3311466816,0.007068545844388208,167980.3311466816
2021-11,EWMA,0.3,420061.16831331665,126018.35049399499,25.203670098798998,-14027.824561363172,4183.143698310152,-9844.68086305302,-9844.68086305302,294042.81781932164,-0.033394718720822225,294042.81781932164
2021-11,GARCH,0.3,420061.16831331665,126018.35049399499,25.203670098798998,-14027.824561363172,4183.143698310152,-9844.68086305302,-9844.68086305302,294042.81781932164,-0.033394718720822225,294042.81781932164
2021-11,GRU,0.6,420061.16831331665,252036.70098798999,50.407340197597996,-14027.824561363172,8366.287396620304,-5661.537164742867,-5661.537164742867,168024.46732532667,-0.033394718720822225,168024.46732532667
2021-11,LSTM,0.3,420061.16831331665,126018.35049399499,25.203670098798998,-14027.824561363172,4183.143698310152,-9844.68086305302,-9844.68086305302,294042.81781932164,-0.033394718720822225,294042.81781932164
2021-11,STATIC,0.6,420061.16831331665,252036.70098798999,50.407340197597996,-14027.824561363172,8366.287396620304,-5661.537164742867,-5661.537164742867,168024.46732532667,-0.033394718720822225,168024.46732532667
2021-12,EWMA,0.6,461919.96078393445,277151.97647036065,55.430395294072135,1292.1012639911544,-830.6911536887646,461.41011030238974,461.41011030238974,184767.9843135738,0.0027972405907688014,184767.9843135738
2021-12,GARCH,0.3,461919.96078393445,138575.98823518032,27.715197647036067,1292.1012639911544,-415.3455768443823,876.7556871467721,876.7556871467721,323343.9725487541,0.0027972405907688014,323343.9725487541
2021-12,GRU,0.6,461919.96078393445,277151.97647036065,55.430395294072135,1292.1012639911544,-830.6911536887646,461.41011030238974,461.41011030238974,184767.9843135738,0.0027972405907688014,184767.9843135738
2021-12,LSTM,0.6,461919.96078393445,277151.97647036065,55.430395294072135,1292.1012639911544,-830.6911536887646,461.41011030238974,461.41011030238974,184767.9843135738,0.0027972405907688014,184767.9843135738
2021-12,STATIC,0.6,461919.96078393445,277151.97647036065,55.430395294072135,1292.1012639911544,-830.6911536887646,461.41011030238974,461.41011030238974,184767.9843135738,0.0027972405907688014,184767.9843135738
2022-01,EWMA,0.3,419980.87056943343,125994.26117083002,25.198852234166004,-6402.7250856685805,1895.6186734664082,-4507.106412202173,-4507.106412202173,293986.60939860344,-0.015245277902746879,293986.60939860344
2022-01,GARCH,0.3,419980.87056943343,125994.26117083002,25.198852234166004,-6402.7250856685805,1895.6186734664082,-4507.106412202173,-4507.106412202173,293986.60939860344,-0.015245277902746879,293986.60939860344
2022-01,GRU,0.3,419980.87056943343,125994.26117083002,25.198852234166004,-6402.7250856685805,1895.6186734664082,-4507.106412202173,-4507.106412202173,293986.60939860344,-0.015245277902746879,293986.60939860344
2022-01,LSTM,0.3,419980.87056943343,125994.26117083002,25.198852234166004,-6402.7250856685805,1895.6186734664082,-4507.106412202173,-4507.106412202173,293986.60939860344,-0.015245277902746879,293986.60939860344
